,Name,State,Pop_Group,Year, Pop 
393,Corvallis OR,OR,Oth,2017,  67 
393,Cumberland MD-WV-PA,MD,Oth,2017,  52 
393,Dalton GA,GA,Oth,2017,  90 
393,Danbury CT-NY,CT,Oth,2017,  178 
393,Danville IL,IL,Oth,2017,  52 
393,Daphne-Fairhope AL,AL,Oth,2017,  75 
393,Davenport IA-IL,IA,Oth,2017,  295 
393,Davis CA,CA,Oth,2017,  79 
393,DeKalb IL,IL,Oth,2017,  76 
393,Decatur AL,AL,Oth,2017,  91 
393,Decatur IL,IL,Oth,2017,  66 
393,Delano CA,CA,Oth,2017,  55 
393,Deltona FL,FL,Oth,2017,  197 
393,Denton-Lewisville TX,TX,Oth,2017,  417 
393,Des Moines IA,IA,Oth,2017,  507 
393,Dothan AL,AL,Oth,2017,  82 
393,Dover DE,DE,Oth,2017,  121 
393,Dover-Rochester NH-ME,NH,Oth,2017,  92 
393,Dubuque IA-IL,IA,Oth,2017,  70 
393,Duluth MN-WI,MN,Oth,2017,  126 
393,Durham NC,NC,Oth,2017,  389 
393,East Stoudsburg PA-NJ,PA,Oth,2017,  61 
393,Eau Claire WI,WI,Oth,2017,  107 
393,El Centro-Calexico CA,CA,Oth,2017,  120 
393,El Paso de Robles-Atascadero CA,CA,Oth,2017,  69 
393,Elizabethtown-Radcliff KY,KY,Oth,2017,  78 
393,Elkhart IN-MI,IN,Oth,2017,  146 
393,Elmira NY,NY,Oth,2017,  68 
393,Erie PA,PA,Oth,2017,  201 
393,Evansville IN-KY,IN,Oth,2017,  238 
393,Fairbanks AK,AK,Oth,2017,  69 
393,Fairfield CA,CA,Oth,2017,  146 
393,Fajardo PR,PR,Oth,2017,  78 
393,Fargo ND-MN,ND,Oth,2017,  195 
393,Farmington NM,NM,Oth,2017,  55 
393,Fayetteville NC,NC,Oth,2017,  330 
393,Fayetteville-Springdale-Rogers AR-MO,AR,Oth,2017,  340 
393,Flagstaff AZ,AZ,Oth,2017,  80 
393,Flint MI,MI,Oth,2017,  339 
393,Florence AL,AL,Oth,2017,  82 
393,Florence SC,SC,Oth,2017,  99 
393,Florida-Imbrey-Barceloneta PR,PR,Oth,2017,  64 
393,Fond du Lac WI,WI,Oth,2017,  58 
393,Fort Collins CO,CO,Oth,2017,  298 
393,Fort Smith AR-OK,AR,Oth,2017,  128 
393,Fort Walton Beach-Navarre-Wright FL,FL,Oth,2017,  213 
393,Fort Wayne IN,IN,Oth,2017,  324 
393,Frederick MD,MD,Oth,2017,  157 
393,Fredericksburg VA,VA,Oth,2017,  158 
393,Gadsden AL,AL,Oth,2017,  65 
393,Gainesville FL,FL,Oth,2017,  196 
393,Gainesville GA,GA,Oth,2017,  149 
393,Galveston TX,TX,Oth,2017,  80 
393,Gastonia NC-SC,NC,Oth,2017,  181 
393,Gilroy-Morgan Hill CA,CA,Oth,2017,  115 
393,Glens Falls NY,NY,Oth,2017,  67 
393,Goldsboro NC,NC,Oth,2017,  62 
393,Grand Forks ND-MN,ND,Oth,2017,  69 
393,Grand Island NE,NE,Oth,2017,  53 
393,Grand Junction CO,CO,Oth,2017,  132 
393,Grants Pass OR,OR,Oth,2017,  55 
393,Great Falls MT,MT,Oth,2017,  66 
393,Greeley CO,CO,Oth,2017,  139 
393,Green Bay WI,WI,Oth,2017,  214 
393,Greenville NC,NC,Oth,2017,  130 
393,Greenville SC,SC,Oth,2017,  430 
393,Guayama PR,PR,Oth,2017,  70 
393,Gulfport MS,MS,Oth,2017,  230 
393,Hagerstown MD-WV-PA,MD,Oth,2017,  196 
393,Hammond LA,LA,Oth,2017,  76 
393,Hanford CA,CA,Oth,2017,  93 
393,Hanover PA,PA,Oth,2017,  66 
393,Harlingen TX,TX,Oth,2017,  147 
393,Harrisburg PA,PA,Oth,2017,  475 
393,Harrisonburg VA,VA,Oth,2017,  72 
393,Hattiesburg MS,MS,Oth,2017,  81 
393,Hazleton PA,PA,Oth,2017,  60 
393,Hemet CA,CA,Oth,2017,  187 
393,Hickory NC,NC,Oth,2017,  231 
393,High Point NC,NC,Oth,2017,  175 
393,Hilton Head Island SC,SC,Oth,2017,  73 
393,Hinesville GA,GA,Oth,2017,  52 
393,Holland MI,MI,Oth,2017,  104 
393,Homosassa Spr-Bev Hills-Citrus Spr FL,FL,Oth,2017,  84 
393,Hot Springs AR,AR,Oth,2017,  56 
393,Houma LA,LA,Oth,2017,  148 
393,Huntington WV-KY-OH,WV,Oth,2017,  206 
393,Huntsville AL,AL,Oth,2017,  309 
393,Idaho Falls ID,ID,Oth,2017,  97 
393,Iowa City IA,IA,Oth,2017,  123 
393,Ithaca NY,NY,Oth,2017,  55 
393,Jackson MI,MI,Oth,2017,  91 
393,Jackson TN,TN,Oth,2017,  73 
393,Jacksonville NC,NC,Oth,2017,  109 
393,Janesville WI,WI,Oth,2017,  73 
393,Jefferson City MO,MO,Oth,2017,  59 
393,Johnson City TN,TN,Oth,2017,  125 
393,Johnstown PA,PA,Oth,2017,  71 
393,Jonesboro AR,AR,Oth,2017,  71 
393,Joplin MO,MO,Oth,2017,  86 
393,Juana Díaz PR,PR,Oth,2017,  73 
393,Kahului HI,HI,Oth,2017,  60 
393,Kailua (Honolulu County)-Kaneohe HI,HI,Oth,2017,  117 
393,Kalamazoo MI,MI,Oth,2017,  218 
393,Kankakee IL,IL,Oth,2017,  85 
393,Kennewick-Pasco WA,WA,Oth,2017,  235 
393,Kenosha WI-IL,WI,Oth,2017,  127 
393,Killeen TX,TX,Oth,2017,  226 
393,Kingsport TN-VA,TN,Oth,2017,  109 
393,Kingston NY,NY,Oth,2017,  115 
393,Kissimmee FL,FL,Oth,2017,  363 
393,Kokomo IN,IN,Oth,2017,  65 
393,La Crosse WI-MN,WI,Oth,2017,  104 
393,Lady Lake-The Villages FL,FL,Oth,2017,  121 
393,Lafayette IN,IN,Oth,2017,  163 
393,Lafayette LA,LA,Oth,2017,  271 
393,Lafayette-Louisville-Erie CO,CO,Oth,2017,  93 
393,Lake Charles LA,LA,Oth,2017,  148 
393,Lake Havasu City AZ,AZ,Oth,2017,  55 
393,Lake Jackson-Angleton TX,TX,Oth,2017,  85 
393,Lakeland FL,FL,Oth,2017,  282 
393,Lancaster PA,PA,Oth,2017,  415 
393,Lansing MI,MI,Oth,2017,  324 
393,Las Cruces NM,NM,Oth,2017,  136 
393,Lawrence KS,KS,Oth,2017,  94 
393,Lawton OK,OK,Oth,2017,  102 
393,Lebanon PA,PA,Oth,2017,  82 
393,Leesburg-Eustis-Tavares FL,FL,Oth,2017,  142 
393,Leominster-Fitchburg MA,MA,Oth,2017,  121 
393,Lewiston ID-WA,ID,Oth,2017,  53 
393,Lewiston ME,ME,Oth,2017,  63 
393,Lexington Park-Cal-Ches Ranch Est MD,MD,Oth,2017,  62 
393,Lexington-Fayette KY,KY,Oth,2017,  314 
393,Lima OH,OH,Oth,2017,  79 
393,Lincoln NE,NE,Oth,2017,  283 
393,Livermore CA,CA,Oth,2017,  89 
393,Lodi CA,CA,Oth,2017,  72 
393,Logan UT,UT,Oth,2017,  104 
393,Lompoc CA,CA,Oth,2017,  55 
393,Longmont CO,CO,Oth,2017,  99 
393,Longview TX,TX,Oth,2017,  104 
393,Longview WA-OR,WA,Oth,2017,  67 
393,Lorain-Elyria OH,OH,Oth,2017,  184 
393,Los Lunas NM,NM,Oth,2017,  63 
393,Lubbock TX,TX,Oth,2017,  252 
393,Lynchburg VA,VA,Oth,2017,  127 
393,Macon GA,GA,Oth,2017,  141 
393,Madera CA,CA,Oth,2017,  90 
393,Manchester NH,NH,Oth,2017,  159 
393,Mandeville-Covington LA,LA,Oth,2017,  112 
393,Manhattan KS,KS,Oth,2017,  61 
393,Mankato MN,MN,Oth,2017,  60 
393,Mansfield OH,OH,Oth,2017,  77 
393,Manteca CA,CA,Oth,2017,  92 
393,Marysville WA,WA,Oth,2017,  164 
393,Mauldin-Simpsonville SC,SC,Oth,2017,  142 
393,Mayaguez PR,PR,Oth,2017,  100 
393,McKinney TX,TX,Oth,2017,  210 
393,Medford OR,OR,Oth,2017,  166 
393,Merced CA,CA,Oth,2017,  146 
393,Michigan City-La Porte IN-MI,IN,Oth,2017,  68 
393,Middletown OH,OH,Oth,2017,  103 
393,Midland MI,MI,Oth,2017,  62 
393,Midland TX,TX,Oth,2017,  141 
393,Mission Viejo-Lake Forest-San Clem CA,CA,Oth,2017,  608 
393,Missoula MT,MT,Oth,2017,  88 
393,Mobile AL,AL,Oth,2017,  340 
393,Modesto CA,CA,Oth,2017,  373 
393,Monessen-California PA,PA,Oth,2017,  69 
393,Monroe LA,LA,Oth,2017,  122 
393,Monroe MI,MI,Oth,2017,  63 
393,Montgomery AL,AL,Oth,2017,  290 
393,Morgantown WV,WV,Oth,2017,  75 
393,Morristown TN,TN,Oth,2017,  61 
393,Mount Vernon WA,WA,Oth,2017,  68 
393,Muncie IN,IN,Oth,2017,  93 
393,Murrieta-Temecula-Menifee CA,CA,Oth,2017,  532 
393,Muskegon MI,MI,Oth,2017,  164 
393,Myrtle Beach-Socastee SC-NC,SC,Oth,2017,  266 
393,Nampa ID,ID,Oth,2017,  170 
393,Napa CA,CA,Oth,2017,  87 
393,Nashua NH-MA,NH,Oth,2017,  234 
393,New Bedford MA,MA,Oth,2017,  150 
393,New Bern NC,NC,Oth,2017,  51 
393,Newark OH,OH,Oth,2017,  78 
393,North Port-Port Charlotte FL,FL,Oth,2017,  197 
393,Norwich-New London CT-RI,CT,Oth,2017,  225 
393,Ocala FL,FL,Oth,2017,  178 
393,Odessa TX,TX,Oth,2017,  147 
393,Ogden-Layton UT,UT,Oth,2017,  607 
393,Olympia-Lacey WA,WA,Oth,2017,  198 
393,Oshkosh WI,WI,Oth,2017,  82 
393,Owensboro KY,KY,Oth,2017,  76 
393,Palm Bay-Melbourne FL,FL,Oth,2017,  493 
